category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Animation,Scroll reveal timing,Stagger entrance animations with 50-100ms delays between elements. Use IntersectionObserver.,"observer = new IntersectionObserver(cb, { threshold: 0.1 }); element.style.transitionDelay = index * 80 + 'ms';",All elements animate at once creating a jarring wall of motion,Everything fades in simultaneously with no stagger,MEDIUM
Animation,Transform and opacity only,Only animate transform and opacity for 60fps performance. Never animate layout properties.,"transition: transform 0.3s ease, opacity 0.3s ease;",Animating width height margin padding causing layout thrashing and jank,"transition: all 0.3s ease; /* animates everything including layout */",HIGH
Animation,Animation duration,Keep transitions 200-400ms. Anything longer feels sluggish. Anything shorter feels jarring.,"transition: transform 0.3s cubic-bezier(0.16, 1, 0.3, 1);",1-2 second transitions that make the site feel slow,transition: transform 1.5s ease;,MEDIUM
Forms,Labels above inputs,Always place labels above input fields. Never use placeholder-only labels.,"<label for=""email"">Email address</label><input id=""email"" type=""email"" placeholder=""you@example.com"">",Placeholder text as the only label — disappears on focus and fails accessibility,"<input placeholder=""Email address""> with no label element",HIGH
Forms,Inline error messages,Show errors below the specific field immediately after validation. Use red text with icon.,"<p class=""text-red-600 text-sm mt-1"">Please enter a valid email address</p>",All errors shown in a banner at the top of the form forcing users to find which field failed,Single error banner: Please fix the errors below,HIGH
Forms,Input sizing,Inputs should be minimum 44px height (touch target) with 12-16px padding.,"padding: 12px 16px; height: 48px; font-size: 16px;",Tiny inputs that are hard to tap on mobile and hard to read,"padding: 4px 8px; height: 28px; font-size: 12px;",HIGH
Forms,Form length,Keep forms to 3-5 fields maximum for lead gen. Every extra field reduces conversions 5-10%.,Name email phone message — 4 fields max for initial contact,10-field form asking for company size budget timeline and more,HIGH
Images,Lazy load below fold,Only eager-load hero images. Lazy load everything else.,"<img loading=""lazy"" decoding=""async"" src=""..."" alt=""..."">",Loading all images upfront causing slow initial page load,All images with loading=eager or no loading attribute,HIGH
Images,Responsive images,Serve appropriate image sizes per viewport using srcset.,"<img srcset=""image-400w.jpg 400w, image-800w.jpg 800w"" sizes=""(max-width: 768px) 100vw, 50vw"">",Serving a 2000px image on a 375px mobile screen wasting bandwidth,"<img src=""huge-image.jpg""> with no srcset",MEDIUM
Images,Alt text on all images,Every image needs descriptive alt text. Decorative images get empty alt.,"<img alt=""Team of dentists in modern clinic lobby""> or <img alt="""" role=""presentation"">",Missing alt text failing accessibility and SEO,"<img src=""team.jpg""> with no alt attribute",HIGH
Performance,Critical CSS inline,Inline critical above-fold CSS to prevent render-blocking.,"<style>/* critical styles here */</style> <link rel=""preload"" href=""style.css"" as=""style"">",External stylesheet blocks rendering until fully downloaded,Single large CSS file loaded in head with no preload,MEDIUM
Performance,Minimize layout shifts,Set explicit width and height on images and embeds to reserve space.,"<img width=""800"" height=""600"" ...> or aspect-ratio: 16/9;",Images load and push content down causing cumulative layout shift,Images with no dimensions causing content jumping on load,HIGH
Accessibility,Focus visible styles,All interactive elements need visible focus styles for keyboard navigation.,"*:focus-visible { outline: 2px solid var(--primary); outline-offset: 2px; }",No focus styles — keyboard users cannot see where they are,:focus { outline: none; } with no replacement,HIGH
Accessibility,Minimum touch targets,All tappable elements minimum 44x44px with 8px spacing between targets.,"min-height: 44px; min-width: 44px; padding: 12px 24px;",Tiny tap targets that cause misclicks on mobile,Small links with 8px padding and no minimum size,HIGH
Accessibility,Semantic HTML,Use proper HTML elements for their intended purpose.,"<nav> <main> <article> <section> <aside> <footer> <button> <a href>",Divs and spans for everything with click handlers instead of proper elements,"<div onclick=""...""> instead of <button> or <a>",HIGH
Mobile,Mobile-first breakpoints,Design for mobile first then enhance for larger screens.,"@media (min-width: 768px) { /* tablet+ styles */ }",Desktop-first with mobile as an afterthought that breaks on small screens,"@media (max-width: 767px) { /* cramming fixes */ }",MEDIUM
Mobile,Horizontal scroll prevention,Ensure no elements cause horizontal overflow on mobile.,"max-width: 100%; overflow-x: hidden; /* on body as last resort */",Elements wider than viewport creating horizontal scroll,Fixed-width elements or images wider than 100vw,HIGH
Mobile,Readable without zoom,Text must be readable at default zoom. No pinch-to-zoom required.,16px base font size with proper scaling via clamp(),12px body text requiring users to zoom in,HIGH
Social Proof,Reviews near CTA,Place testimonials or review counts immediately before or after the primary CTA.,Reviews section directly above the final CTA section,Reviews buried at the bottom of the page after the CTA,MEDIUM
Social Proof,Specific testimonials,Use testimonials with full name photo company and specific results.,"<blockquote>""Revenue up 40% in 3 months"" — Jane Smith, CEO at Acme</blockquote>","Vague anonymous testimonials with no credibility","<blockquote>""Great service!"" — J.S.</blockquote>",HIGH
Social Proof,Trust badges above fold,Show key trust signals (ratings certifications logos) near the hero.,Google rating badge client logos or certification icons below hero headline,All social proof at the bottom of the page where 50%+ of visitors never scroll,HIGH
