product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
Electrician,Hero + Services + Safety badges + CTA,Amber + blue trust,Industrial Solid,Clean layout certification badges prominent contact,No safety certifications visible — trust is everything in electrical,HIGH
HVAC,Seasonal hero + Services + Reviews + Quote form,Cyan cool + orange warmth,Industrial Solid,Temperature-themed subtle animations clean service cards,No seasonal content — HVAC needs change summer vs winter,MEDIUM
General Contractor,Project gallery hero + Services + Process,Dark neutrals + orange CTA,Industrial Solid,Before/after project sliders portfolio grid hover effects,No project portfolio — contractors are hired on past work,HIGH
Landscaping,Visual hero + Services + Gallery + Quote,Green natural + amber warmth,Organic Natural,Parallax nature imagery seasonal color shifts image gallery,Stock photos instead of real project photos,HIGH
Cleaning Services,Bright hero + Services + Pricing + Booking,Sky blue + green fresh,Rounded Friendly,Clean animations sparkle micro-interactions clear pricing,No transparent pricing — cleaning customers compare prices,HIGH
Cleaning Services,Bright hero + Services + Pricing + Booking,Sky blue + green fresh,Rounded Friendly,Clean animations sparkle micro-interactions clear pricing,Dark color scheme — cleaning should feel bright and fresh,MEDIUM
Car Detailing,Dark hero + Packages + Gallery + Booking,Black + gold premium,Sleek Dark,Before/after sliders shine/gloss effects dark mode premium feel,Light pastel design — car enthusiasts expect dark premium aesthetics,HIGH
Car Detailing,Dark hero + Packages + Gallery + Booking,Black + gold premium,Sleek Dark,Before/after sliders shine/gloss effects dark mode premium feel,No before/after photos — detailing is a visual transformation,HIGH
Auto Repair,Hero + Services + Trust signals + Booking,Dark slate + red accent,Industrial Solid,Clean layout mechanic certification badges service checklist,No trust signals — auto repair has a trust problem to overcome,HIGH
E-commerce (Fashion),Lookbook hero + Collections + Featured,Monochrome + accent pop,Editorial Magazine,Image zoom hover cart animation smooth transitions,Cluttered product pages — fashion needs breathing room,HIGH
E-commerce (General),Category hero + Featured + Deals + Reviews,Blue trust + orange deals,Clean Geometric,Quick view hover add-to-cart animation smooth filtering,No reviews visible on product cards — social proof drives purchases,HIGH
E-commerce (Luxury),Full-bleed hero + Curated selection,Black + gold accents,Classic Elegant,Parallax smooth scroll elegant hover states,Discount badges and sale language — cheapens luxury positioning,HIGH
SaaS / Software,Hero with demo + Features + Pricing + Social proof,Blue + orange CTA,Technical Precision,Interactive demo section feature card animations pricing toggle,No free trial or demo CTA above fold — SaaS lives on trial signups,HIGH
HR / Recruitment,Hero + How it works + Testimonials + CTA,Indigo + orange energy,Clean Geometric,Step-by-step animation counter animations smooth transitions,Corporate jargon overload — HR sites should feel human,HIGH
Coaching / Consulting,Personal hero + Method + Results + Booking,Purple + amber warmth,Warm Friendly,Personal photo parallax testimonial carousel result counters,No personal photo — coaching is personal and people buy people,HIGH
Fitness / Gym,Bold hero + Programs + Trainers + CTA,Black + red energy,Bold Impact,High-contrast imagery bold typography energy animations,Passive calm design — fitness needs energy and motivation,HIGH
Restaurant / Food,Hero with food photography + Menu + Reservations,Warm orange + gold appetite,Artisan Craft,Food parallax menu hover effects reservation widget,Stock food photos — restaurants must show their actual food,HIGH
Restaurant / Food,Hero with food photography + Menu + Reservations,Warm orange + gold appetite,Artisan Craft,Food parallax menu hover effects reservation widget,PDF menu links instead of native web menu — bad mobile experience,HIGH
Cafe / Coffee,Warm hero + Menu + Location + Hours,Warm stone + brown earthy,Artisan Craft,Cozy texture overlays warm tone shifts smooth scroll,Missing hours and location prominently — cafes are location-dependent,HIGH
Law Firm,Authority hero + Practice areas + Team + Contact,Navy + gold authority,Modern Authority,Subtle animations professional transitions credential displays,Flashy design or playful elements — undermines professional authority,HIGH
Accounting,Clean hero + Services + Trust badges + Contact,Blue + green stability,Heritage Trust,Minimal clean transitions number counter animations,Complex jargon — accountant clients want simple clear language,MEDIUM
Photography,Portfolio hero + Gallery + About + Contact,Monochrome + accent,Editorial Magazine,Masonry gallery lightbox smooth image transitions,Busy design that competes with the photos — portfolio IS the product,HIGH
Wedding Services,Romantic hero + Portfolio + Packages + Contact,Deep rose + gold luxury,Classic Elegant,Elegant transitions soft parallax gallery carousel,Using generic templates — weddings are personal and premium,HIGH
Pet Services,Friendly hero + Services + Gallery + Booking,Orange + blue playful,Playful Modern,Bouncy animations playful hover states cute micro-interactions,Corporate sterile design — pet owners want warmth and personality,HIGH
Nonprofit,Mission hero + Impact + Stories + Donate,Green + purple mission,Warm Friendly,Impact counter animations story carousel donation progress bars,No impact metrics visible — donors need to see their money works,HIGH
